Index,Peak Ratio,Green Test,Red Test,Pink Background,Pink Max
0,"[0.6483516483516484, True, False, 157.69977696737337, 48.66598416396624]"
1,"[0.6688963210702341, True, False, 131.14584421580736, 43.51457515462204]"
2,"[0.9356913183279743, True, False, 141.58308106667573, 47.63346001643768]"
3,"[0.7108433734939759, True, False, 182.88913822156368, 58.14020777209285]"
4,"[0.8088235294117647, True, False, 265.66608941117397, 82.80939602386087]"
5,"[0.75, True, False, 257.7279949309378, 127.16318406730966]"
6,"[0.7743362831858407, True, False, 181.48228197474015, 45.969508679875986]"
7,"[2.4870689655172415, False, False, 148.71424632145354, 29.090028976719225]"
8,"[0.6170212765957447, True, True, 152.66897556624457, 100.71677360596746]"
9,"[1.1013333333333333, True, False, 149.6562161805684, 107.50647180889905]"
10,"[0.7162162162162162, True, False, 134.02720699225617, 34.4162082798847]"
11,"[0.8914027149321267, True, False, 140.39059573981095, 23.13008615368784]"
12,"[0.5, True, True, 121.39410670160827, 123.6783272374536]"
13,"[0.7757009345794392, True, False, 135.93461462121985, 15.762468088613446]"
14,"[1.4691358024691359, True, False, 179.4007772394847, 24.978943566424903]"
15,"[0.49246231155778897, True, True, 163.29822823015664, 101.94561366931228]"
16,"[2.0595238095238093, True, False, 256.3980086803024, 42.267821662277754]"
17,"[1.1538461538461537, True, False, 178.77164394617822, 46.527613563837804]"
18,"[3.054054054054054, False, False, 176.56646734142657, 98.66602294465955]"
19,"[0.8767123287671232, True, False, 132.92444420440228, 42.168843058368594]"
20,"[0.6617647058823529, True, True, 123.71671645847361, 53.61798480921637]"
21,"[0.7572674418604651, True, True, 116.43635385286991, 242.54120828669136]"
22,"[0.4052863436123348, True, True, 118.3499849763114, 161.79230237682532]"
23,"[0.5901162790697675, True, True, 119.07780360358278, 51.81621930259841]"
24,"[0.822429906542056, True, False, 113.56145495793338, 48.71439592765036]"
25,"[0.5639344262295082, True, True, 114.03014377471123, 58.619575888495646]"
26,"[0.7252124645892352, True, False, 112.86668055340637, 60.586687456732065]"
27,"[0.851528384279476, True, False, 114.47124926940654, 27.035719616643263]"
28,"[0.8295218295218295, True, False, 121.06244563062712, 203.9493282569321]"
29,"[0.9695121951219512, True, False, 134.05862136734282, 73.55093674347279]"
30,"[0.7044534412955465, True, False, 129.89673407650938, 73.11154614876773]"
31,"[0.7142857142857143, True, False, 147.94679756001452, 22.162777272717307]"
32,"[0.5885416666666666, True, True, 120.75457692206645, 130.58918247805184]"
33,"[0.6548856548856549, True, True, 121.51931046506435, 102.91259655641858]"
34,"[0.7922705314009661, True, False, 114.4814074943314, 26.122903923077317]"
35,"[0.548431105047749, True, True, 114.50400637043029, 173.50449088228788]"
36,"[1.9387096774193548, False, False, 114.91084946270047, 47.99996702354622]"
37,"[2.0425531914893615, False, False, 113.2542135090979, 88.7281681370767]"
38,"[1.9115479115479115, False, False, 117.39292476926983, 113.52228932030728]"
39,"[0.5366614664586583, True, True, 115.23011168055439, 124.74324244469098]"
40,"[0.8278388278388278, True, False, 115.3554726245403, 21.499518470656767]"
41,"[0.95, True, False, 118.13098001028827, 23.072168856558065]"
42,"[0.864321608040201, True, False, 125.48459671026771, 56.60183956134662]"
43,"[0.522633744855967, True, True, 150.63242040169334, 106.52911790605845]"
44,"[0.7658730158730159, True, False, 150.73029599297294, 38.40986475618121]"
45,"[0.5255102040816326, True, True, 138.48353794364976, 103.60832595758592]"
46,"[1.5432835820895523, True, False, 132.54479775616403, 86.95327205577138]"
47,"[0.8514851485148515, True, False, 120.98972692684423, 21.23127629298199]"
48,"[0.6970954356846473, True, False, 131.26752326918688, 60.4497316943563]"
49,"[1.308860759493671, True, False, 135.1748453369344, 149.93888661156848]"
50,"[0.6504629629629629, True, True, 134.9171034169056, 279.24280634196646]"
51,"[0.8768656716417911, True, False, 128.36499847220867, 220.57302652738264]"
52,"[0.676320272572402, True, True, 119.38266578198191, 252.98994533965922]"
53,"[0.8387978142076503, True, False, 115.9292424077173, 64.12960911216894]"
54,"[0.6769759450171822, True, False, 111.58825960445812, 23.69252838596637]"
55,"[2.7453703703703702, False, False, 113.28111699264885, 22.983410394113804]"
56,"[0.3054626532887402, True, True, 116.58986896060253, 190.249710329734]"
57,"[0.7956521739130434, True, False, 114.94316324864279, 98.74188770621676]"
58,"[0.594692400482509, True, True, 115.54534585254875, 471.73449840240573]"
59,"[0.6815789473684211, True, True, 114.07287809287287, 54.09465594955597]"
60,"[0.634375, True, True, 114.68802515280491, 40.38266629260771]"
61,"[0.6891891891891891, True, False, 111.45338046534671, 50.65627396365994]"
62,"[0.9619047619047619, True, False, 116.3478860567591, 48.02948978349136]"
63,"[0.33557046979865773, True, True, 119.78819014290667, 166.7095608045396]"
64,"[0.5186335403726708, True, True, 121.3368946768697, 144.33856082050482]"
65,"[0.6861313868613139, True, False, 117.48814056204326, 32.336204029892656]"
66,"[0.64453125, True, False, 139.98019468155312, 42.53785455042862]"
67,"[1.2369337979094077, True, False, 155.29706928890624, 111.47272818001204]"
68,"[0.8213507625272332, True, False, 138.1032942566196, 238.0778028116428]"
69,"[0.6138996138996139, True, False, 162.02538114777798, 33.67785978679004]"
70,"[0.7637540453074434, True, False, 157.64382717250797, 96.32391666514633]"
71,"[0.8329896907216495, True, False, 119.27693930192906, 254.84558585941824]"
72,"[0.6820083682008368, True, False, 124.46134684312435, 34.673621512271296]"
73,"[1.1017964071856288, True, False, 115.21312547394328, 62.92794583802099]"
74,"[0.7311178247734139, True, False, 116.11631679406494, 19.324710855124223]"
75,"[0.4393063583815029, True, True, 127.06917146445846, 207.30352675213865]"
76,"[0.4626865671641791, True, True, 152.79713062035196, 78.87761385529689]"
77,"[0.8126888217522659, True, False, 193.45655987285198, 133.33720734230639]"
78,"[0.690625, True, False, 205.82895200265787, 75.07296990802686]"
79,"[0.6498316498316499, True, True, 166.91432206950194, 181.72883986668117]"
80,"[2.825278810408922, False, False, 148.28782326453944, 86.01846300777677]"
81,"[2.740983606557377, False, False, 150.20846141691302, 102.36974948317496]"
82,"[0.6523809523809524, True, True, 156.0578843017473, 203.31411431720227]"
83,"[1.056910569105691, True, False, 141.22286224189122, 40.83849946110101]"
84,"[0.7267857142857143, True, True, 140.27172831325305, 87.5590989728779]"
85,"[0.8278388278388278, True, False, 128.56628981790027, 36.27125326723912]"
86,"[0.5568181818181818, True, True, 123.15570694153557, 74.52910115192051]"
87,"[0.7099236641221374, True, False, 118.87969419694689, 44.71411779660323]"
88,"[0.9195979899497487, True, False, 117.37836285489908, 72.88593922326986]"
89,"[1.0423728813559323, True, False, 112.63930621352847, 48.87719285833472]"
90,"[0.5395256916996047, True, True, 121.83595240357798, 139.23634805413928]"
91,"[0.5546875, True, True, 142.67275894550218, 74.59435997864551]"
92,"[0.7365010799136069, True, True, 176.93378871393884, 111.22032232469235]"
93,"[0.6506024096385542, True, True, 137.28992223317698, 84.57650803195062]"
94,"[1.0552884615384615, True, False, 118.19688942102157, 148.41704711239413]"
95,"[0.563011456628478, True, True, 117.34336853297364, 128.19255898735565]"
96,"[1.0275482093663912, True, False, 117.25960588916142, 60.99249408112533]"
97,"[0.6142131979695431, True, True, 123.67371768302884, 42.91782196137689]"
98,"[1.1547169811320754, True, False, 124.46043795772246, 82.32024311965678]"
99,"[0.9246376811594202, True, False, 122.3394042048344, 52.57221755337177]"
100,"[0.5760517799352751, True, True, 126.68549792793327, 129.06437337391483]"
101,"[0.7090163934426229, True, False, 133.32587209762514, 85.24668365946852]"
102,"[1.9656084656084656, False, False, 168.30553368073748, 61.26473867773322]"
103,"[0.8076109936575053, True, False, 131.16846041871995, 262.65540349030925]"
104,"[1.7284263959390862, False, False, 139.82365385298456, 126.36633632710041]"
105,"[0.7528089887640449, True, False, 193.68536057639383, 100.55726915727433]"
106,"[0.6594202898550725, True, True, 219.34176718215096, 84.10201903620043]"
107,"[0.7668711656441718, True, True, 240.7692530010237, 187.48779918196055]"
108,"[1.6153846153846154, True, False, 284.52225218980647, 53.6806558588554]"
109,"[1.2310077519379845, False, False, 282.67135350064683, 103.84724435033542]"
110,"[0.8935574229691877, True, False, 320.95901750450025, 73.12893310827639]"
111,"[0.7541528239202658, True, True, 196.6159332682627, 538.6636058362149]"
112,"[2.6294117647058823, False, False, 184.02510946454316, 125.17906685486108]"
113,"[1.0995475113122173, True, False, 181.59720393227357, 48.314885669211776]"
114,"[0.46075715604801476, True, True, 171.77481049375777, 414.1851304804642]"
115,"[0.8251928020565553, True, False, 139.44385263366397, 90.41415793894984]"
116,"[1.0231958762886597, True, False, 115.61407651982839, 103.6669906936764]"
117,"[0.5532994923857868, True, True, 135.6539763364831, 105.47618962560477]"
118,"[0.7522935779816514, True, True, 126.82956158995421, 69.27123547903626]"
119,"[0.7889688249400479, True, False, 134.01361097810144, 41.82079156087542]"
120,"[1.4180672268907564, False, False, 120.05558877357856, 173.07931668126906]"
121,"[0.6556291390728477, True, True, 129.9084849877838, 35.02589558039014]"
122,"[0.6303142329020333, True, True, 159.4925579596898, 81.71859099561118]"
123,"[0.5563725490196079, True, True, 151.27337003269346, 141.64468038324932]"
124,"[0.8295739348370927, True, False, 147.81069451648355, 56.87872913408759]"
125,"[0.7702479338842976, True, True, 164.43606394848604, 251.74998548853193]"
126,"[0.9182156133828996, True, False, 138.88917850211402, 61.25440476987811]"
127,"[0.7930489731437599, True, True, 216.08827031621996, 416.2696327838054]"
128,"[3.613981762917933, False, False, 323.474652235209, 86.45067928002715]"
129,"[0.631578947368421, True, True, 352.89205593661836, 188.61357349475367]"
130,"[0.9471264367816092, True, False, 354.95877996521034, 114.69931060011851]"
131,"[2.515923566878981, False, False, 318.99712797901225, 70.10231621423583]"
132,"[5.726495726495727, False, False, 557.1200846740173, 151.89030287457445]"
133,"[0.5161290322580645, True, True, 603.1258087301308, 436.2781870286576]"
134,"[0.6039603960396039, True, True, 547.3590672236674, 121.04671346715918]"
135,"[0.7710651828298887, True, True, 228.77220484388644, 203.33819130627523]"
136,"[0.6795827123695977, True, True, 213.01896065344653, 87.22815236600223]"
137,"[0.7650862068965517, True, True, 143.00873736788813, 222.07710090398737]"
138,"[0.6849056603773584, True, True, 137.6348119796881, 130.69902586795416]"
