Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
3,30,Erastin+,Well Plate,190221,2,0.1385153522031361,0.07068913827877799,0.12835946647246121
3,30,Erastin-,Well Plate,190221,1,0.1716004136299066,0.08720064552536748,0.12302039962782817
3,30,Erastin-,Well Plate,190221,2,0.16025180772534897,0.1385974334509961,0.1205772227358039
.5,50,Erastin+,Well Plate,190221,1,0.12167204819930111,0.05914485105856856,0.12066186181253531
.5,50,Erastin+,Well Plate,190221,2,0.1601369282128438,0.04375995413297422,0.1558356020644897
.5,50,Erastin+,Well Plate,190221,3,0.11608207500533284,0.06555471284864012,0.09872642559114377
.5,50,Erastin-,Well Plate,190221,1,0.18217548216373686,0.06877131119314336,0.16123721855049333
.5,50,Erastin-,Well Plate,190221,2,0.15857331253277668,0.12207954609354511,0.16419687370907063
1,50,Erastin+,Well Plate,190221,1,0.42314537638159944,0.9238832237442353,0.17513888998383206
1,50,Erastin+,Well Plate,190221,2,0.36438988648616216,0.0818947248196706,0.340599391390347
1,50,Erastin+,Well Plate,190221,3,0.22498943928261605,0.10561584400610247,0.2695658991043525
1,50,Erastin-,Well Plate,190221,1,0.19644873515063932,0.07822397194910426,0.16673732344090614
1,50,Erastin-,Well Plate,190221,2,0.04196827888429512,0.027161487936284263,0.029535998829567093
1.5,50,Erastin+,Well Plate,190221,1,0.43245058817029014,0.2081506035372874,0.4235690141022999
1.5,50,Erastin+,Well Plate,190221,2,0.43259928819939547,0.1666666940888694,0.42259009094705163
1.5,50,Erastin+,Well Plate,190221,3,0.4504283709570479,0.11700069219915056,0.448932760368811
1.5,50,Erastin-,Well Plate,190221,1,0.21636246172482812,0.09093523669635314,0.19826417615825817
1.5,50,Erastin-,Well Plate,190221,2,0.07962652442296907,0.050045478965669625,0.0701958878306701
2,50,Erastin+,Well Plate,190221,1,0.17877958501350055,0.0890906645308457,0.1540668488187816
2,50,Erastin+,Well Plate,190221,2,0.06193416291411144,0.030423841801976114,0.06074321563854652
2,50,Erastin+,Well Plate,190221,3,0.1055888894391389,0.04329972983112727,0.0915737124213266
2,50,Erastin-,Well Plate,190221,1,0.13062634511789892,0.06912083567878763,0.10699728495889244
2,50,Erastin-,Well Plate,190221,2,0.0766169809960879,0.042196229986525155,0.06719092409875763
2.5,50,Erastin+,Well Plate,190221,1,0.058375984980393085,0.04120273292166235,0.0584913874996081
2.5,50,Erastin+,Well Plate,190221,2,0.08636946595826604,0.03867428214507295,0.09286337037927477
2.5,50,Erastin+,Well Plate,190221,3,0.22383723356327648,0.0460442301842606,0.22887546090745925
2.5,50,Erastin-,Well Plate,190221,1,0.27564985231162786,0.14592429815670785,0.23160981928349528
2.5,50,Erastin-,Well Plate,190221,2,0.18305757542068873,0.0605182466000924,0.16613329081633435
3,50,Erastin+,Well Plate,190221,1,0.08492958968073214,0.03674674285938663,0.08354230524051318
3,50,Erastin+,Well Plate,190221,2,0.18330832956093027,0.1630497515243817,0.12127186496456445
3,50,Erastin+,Well Plate,190221,3,0.09408477394564864,0.029834619565835142,0.09892051501559838
3,50,Erastin-,Well Plate,190221,1,0.4447014741280708,0.21543164500997283,0.41610283800012815
3,50,Erastin-,Well Plate,190221,2,0.3699090882589742,0.11242727290808235,0.3259939630645934
.5,30,Erastin+,Well Plate,190221,1,0.1532040696723761,0.1090293528281928,0.0513823205985092
.5,30,Erastin+,Well Plate,190221,2,0.13131865758096614,0.06824683854309399,0.08510934984770394
.5,30,Erastin+,Well Plate,190221,3,0.08930374545281587,0.05745717925967594,0.07137532555500731
.5,30,Erastin-,Well Plate,190221,1,0.4174244500907342,0.18181593700772727,0.3792495231821528
.5,30,Erastin-,Well Plate,190221,2,0.22092319054318096,0.08498548237966691,0.16117158683774946
1,30,Erastin+,Well Plate,190221,1,0.2576859333639752,0.10218299552541592,0.20919844323240147
1,30,Erastin+,Well Plate,190221,2,0.07802450253588747,0.027797591284380183,0.07609863532855923
1,30,Erastin+,Well Plate,190221,3,0.07066530890650564,0.02829994331823379,0.06452311757363374
1,30,Erastin-,Well Plate,190221,1,0.0717097021160398,0.038467306700226446,0.049484554173704114
1,30,Erastin-,Well Plate,190221,2,0.08073002882102812,0.043231042595746484,0.05647264087338677
1.5,30,Erastin+,Well Plate,190221,1,0.5852404309931938,0.389539149870376,1.2537465498868396
1.5,30,Erastin+,Well Plate,190221,2,0.38831544048437844,0.2696198459672364,0.18566305661634372
1.5,30,Erastin+,Well Plate,190221,3,0.3986429626323095,0.11588742083976777,0.4243573632690021
1.5,30,Erastin-,Well Plate,190221,1,0.13532681177109984,0.047199116448256716,0.11717514395720684
1.5,30,Erastin-,Well Plate,190221,2,0.06332228351282947,0.04468618997492651,0.037512735495855834
2,30,Erastin+,Well Plate,190221,1,0.09779275222313379,0.0201661942827668,0.09376449932813549
2,30,Erastin+,Well Plate,190221,2,0.08073441507132227,0.04436570607330821,0.07836897881181298
2,30,Erastin+,Well Plate,190221,3,0.054989229524148905,0.3504140312333038,0.11527496024424018
2,30,Erastin-,Well Plate,190221,1,0.19152783456033892,0.08418709541837534,0.14793514200808394
2,30,Erastin-,Well Plate,190221,2,0.12106088739282866,0.04925061896792379,0.09646247668741637
2.5,30,Erastin+,Well Plate,190221,1,0.07658282457166371,0.04395510184850535,0.06620762855029381
2.5,30,Erastin+,Well Plate,190221,2,0.17332413232567137,0.06066728363083226,0.18493465571922704
2.5,30,Erastin+,Well Plate,190221,3,0.10384133157464591,0.020977762634702725,0.08578333778146174
2.5,30,Erastin-,Well Plate,190221,1,0.17175978302209507,0.1166029761852332,0.14724263750760763
2.5,30,Erastin-,Well Plate,190221,2,0.13645186404322404,0.07984138626664956,0.11711160632806292
3,30,Erastin+,Well Plate,190221,1,0.09767020099529732,0.03837216988413594,0.10970771380990846
3,30,Erastin+,Well Plate,190221,3,0.1619952852612094,0.10599511419450186,0.20373803667735407
